Norm,Angle,Obj
0.14624,0.21634,2
0.1807,0.19687,3
0.15803,0.086928,1
0.19349,0.075149,4
0.16714,0.082136,3
0.14586,0.22014,1
0.1363,0.26079,2
0.18752,0.1997,1
0.13919,0.17526,4
0.237,0.095032,1
0.1485,0.12345,3
0.1625,0.10445,2
0.21707,0.087572,1
0.13908,0.25832,3
0.16815,0.075345,4
0.15769,0.141,3
0.13777,0.22202,4
0.22106,0.06503,1
0.15669,0.17913,3
0.18293,0.064409,3
0.129,0.37941,2
0.19721,0.047544,4
0.14463,0.20531,2
0.16583,0.14695,4
0.1301,0.37537,3
0.17093,0.14126,4
0.13821,0.31422,3
0.14719,0.1462,3
0.14898,0.13188,3
0.15984,0.21044,1
0.1536,0.12536,1
0.17391,0.12412,3
0.1402,0.25129,1
0.17795,0.18297,1
0.14703,0.23814,3
0.16619,0.048332,2
0.16663,0.18063,2
0.14133,0.18636,2
0.14585,0.17903,1
0.22143,0.063272,2
0.14424,0.25377,2
0.14986,0.22415,1
0.13961,0.21074,4
0.12813,0.37807,3
0.17191,0.13567,1
0.14095,0.28588,4
0.19547,0.06099,2
0.14826,0.21298,3
0.132,0.35018,4
0.15247,0.11754,4
0.16806,0.18832,2
0.15013,0.22579,2
0.16899,0.10957,3
0.159,0.06161,4
0.13681,0.32473,2
0.17348,0.063196,2
0.14534,0.20853,2
0.14823,0.19392,1
0.17509,0.16943,1
0.16442,0.046524,1
0.12791,0.35081,2
0.15345,0.079254,4
0.19877,0.13869,4
0.13477,0.3524,3
0.182,0.063491,4
0.14215,0.16352,2
0.14029,0.22708,2
0.17336,0.17969,2
0.13321,0.27543,4
0.15056,0.25428,1
0.14744,0.26926,2
0.14144,0.27319,1
0.13783,0.21363,3
0.35231,0.052414,1
0.1546,0.074633,1
0.15668,0.2099,4
0.17735,0.18239,1
0.15219,0.16051,4
0.14715,0.22767,1
0.15377,0.16217,1
0.16016,0.052037,4
0.16261,0.18126,1
0.15066,0.22482,3
0.21044,0.15991,1
0.13716,0.26532,3
0.15951,0.19183,1
0.17606,0.070991,3
0.22302,0.049991,3
0.16387,0.092151,2
0.17215,0.19662,2
0.1368,0.25915,1
0.15731,0.21564,2
0.15308,0.22407,2
0.17718,0.09673,1
0.19733,0.14343,1
0.15679,0.12851,3
0.13565,0.22771,1
0.20772,0.14047,1
0.12548,0.43834,4
0.16669,0.1553,1
0.1941,0.17222,1
0.16482,0.19057,1
0.13477,0.25646,4
0.16363,0.18083,4
0.13121,0.3439,2
0.15616,0.068823,2
0.1747,0.20154,1
0.15585,0.23468,2
0.16117,0.13648,4
0.14262,0.20161,4
0.16012,0.12637,1
0.13813,0.26923,3
0.14764,0.23389,4
0.16569,0.16611,1
0.1737,0.22621,2
0.14472,0.16926,2
0.14398,0.27053,4
0.15471,0.21226,3
0.15311,0.25356,2
0.13819,0.22127,1
0.1526,0.25069,1
0.15383,0.1125,2
0.14685,0.1506,2
0.17082,0.17511,3
0.16433,0.10875,4
0.13641,0.34797,1
0.15138,0.088163,3
0.16088,0.080539,2
0.14779,0.11493,1
0.14942,0.23374,1
0.19639,0.18278,2
0.14835,0.15057,4
0.16018,0.0516,1
0.16811,0.17554,2
0.22269,0.037121,1
0.15731,0.16247,2
0.13217,0.26875,1
0.15541,0.20565,1
0.19376,0.18757,1
0.23184,0.13206,1
0.1626,0.25393,2
0.1495,0.12503,1
0.15023,0.10914,3
0.13045,0.37107,1
0.21403,0.15471,1
0.1561,0.19791,1
0.12953,0.37163,4
0.14124,0.22147,3
0.19542,0.17587,1
0.13815,0.25634,1
0.20909,0.12025,2
0.13799,0.19408,3
0.16593,0.099503,2
0.13545,0.30921,2
0.15773,0.16921,2
0.15662,0.075824,4
0.2258,0.1043,3
0.15853,0.22788,1
0.16351,0.12688,2
0.14259,0.23299,4
0.16803,0.18092,1
0.13993,0.25401,1
0.1525,0.12415,3
0.12764,0.37456,1
0.14378,0.26833,1
0.14056,0.30311,1
0.12925,0.41106,1
0.14796,0.14714,2
0.16588,0.10208,3
0.18927,0.16018,3
0.12843,0.36569,1
0.19544,0.18449,1
0.17046,0.14469,1
0.13677,0.32991,2
0.13259,0.31905,2
0.17215,0.19826,1
0.18512,0.17072,2
0.18226,0.06889,3
0.14725,0.12482,1
0.17236,0.037426,4
0.21221,0.076988,1
0.17893,0.17104,1
0.20403,0.094177,1
0.13282,0.28946,3
0.16931,0.17579,1
0.14044,0.24344,2
0.15939,0.19936,3
0.14593,0.20435,4
0.14189,0.2035,4
0.15862,0.05901,3
0.15999,0.099633,1
0.1408,0.20816,3
0.16105,0.18281,1
0.23771,0.12557,1
0.21926,0.060095,1
0.13536,0.22623,2
0.14342,0.23372,3
0.14703,0.23506,4
0.15483,0.25528,1
0.12988,0.31258,3
