Obj1,Obj2,Obj3,Obj4
0.24814,0.57817,0.042745,0.77609
0.050503,0.27229,0.050503,0.95956
0.36873,0.75519,0.39015,0.37618
0.71373,0.050969,0.57694,0.39388
0.77615,0.39513,0.40323,0.28083
0.63973,0.58798,0.26142,0.42034
0.29471,0.050155,0.95295,0.050155
0.048028,0.26727,0.88631,0.37513
0.58645,0.66674,0.044908,0.45773
0.6501,0.038336,0.21299,0.72838
0.35717,0.21771,0.8835,0.21085
0.21993,0.32897,0.73822,0.54629
0.5607,0.41544,0.58942,0.40696
0.86312,0.045428,0.045428,0.50089
0.17099,0.051713,0.051713,0.98255
0.63917,0.26048,0.51394,0.50938
0.052414,0.052414,0.99587,0.052414
0.95488,0.050257,0.050257,0.28835
0.045522,0.045522,0.61147,0.78864
0.050527,0.21632,0.43668,0.87176
0.30732,0.44133,0.81461,0.21724
0.8477,0.37553,0.37201,0.044616
0.88188,0.24919,0.33279,0.22238
0.18507,0.40985,0.09358,0.88826
0.55576,0.043634,0.043634,0.82905
0.20824,0.23056,0.94813,0.067355
0.34927,0.21074,0.18516,0.89404
0.53306,0.3945,0.74704,0.046408
0.56746,0.689,0.44813,0.049466
0.051495,0.051495,0.23525,0.9692
0.78247,0.041183,0.23294,0.57601
0.69846,0.28229,0.65571,0.050031
0.24244,0.63181,0.64462,0.35567
0.19373,0.37217,0.38271,0.8231
0.38977,0.73552,0.20313,0.51558
0.38669,0.40337,0.047414,0.82796
0.79885,0.042045,0.59833,0.045458
0.94645,0.051,0.24805,0.20024
0.050874,0.88147,0.43264,0.18235
0.046766,0.48242,0.046766,0.87344
0.50653,0.75344,0.22314,0.3549
0.049763,0.36827,0.23774,0.89743
0.042881,0.81473,0.57666,0.042881
0.35616,0.50701,0.52724,0.58147
0.49379,0.62998,0.3757,0.46706
0.20475,0.86717,0.45101,0.051849
0.38242,0.045826,0.86786,0.31379
0.7334,0.24552,0.20141,0.60106
0.052304,0.82171,0.18664,0.53594
0.51159,0.81798,0.20389,0.1662
0.050611,0.96161,0.26491,0.050611
0.53565,0.19888,0.78544,0.23792
0.63897,0.52974,0.45524,0.32225
0.4615,0.51522,0.69859,0.18311
0.83367,0.54877,0.043877,0.043877
0.23039,0.69462,0.48079,0.48298
0.44936,0.63126,0.033224,0.63126
0.55215,0.039519,0.75086,0.36025
0.34302,0.21169,0.67153,0.62175
0.21795,0.051578,0.87273,0.4338
0.63256,0.20775,0.36722,0.6495
0.8682,0.25065,0.20726,0.37476
0.20319,0.29387,0.89402,0.27032
0.23318,0.049244,0.69133,0.6821
0.54343,0.60243,0.54651,0.20758
0.70995,0.041561,0.66948,0.21457
0.044503,0.24576,0.79165,0.55759
0.30959,0.24239,0.82246,0.41104
0.2455,0.23131,0.049479,0.94009
0.94241,0.22466,0.24275,0.049601
0.36053,0.046357,0.77624,0.51509
0.74626,0.5936,0.039277,0.29866
0.34809,0.86652,0.27919,0.22365
0.54357,0.3449,0.19722,0.73938
0.040876,0.77665,0.040876,0.62728
0.37515,0.048653,0.048653,0.92441
0.89502,0.048753,0.2044,0.39342
0.048197,0.58611,0.49033,0.64321
0.76193,0.60985,0.21216,0.050341
0.18198,0.52438,0.61628,0.55866
0.66075,0.042328,0.74821,0.042328
0.089289,0.2487,0.62341,0.73589
0.050603,0.57929,0.73859,0.3411
0.13722,0.92979,0.259,0.22266
0.73307,0.038583,0.038583,0.67796
0.66872,0.68418,0.18981,0.22064
0.4591,0.76219,0.41286,0.19451
0.22593,0.40282,0.55766,0.68971
0.27532,0.23777,0.53403,0.7632
0.58153,0.20821,0.7851,0.045681
0.052414,0.99587,0.052414,0.052414
0.77381,0.13168,0.34423,0.51516
0.62008,0.50254,0.60103,0.041488
0.045984,0.10542,0.72642,0.67755
0.57205,0.042244,0.39301,0.7187
0.51866,0.58343,0.21821,0.58565
0.22694,0.75572,0.29309,0.53989
0.23874,0.72609,0.64333,0.043872
0.5054,0.1763,0.51544,0.66918
0.4193,0.51511,0.17372,0.72709
0.734,0.42038,0.52408,0.099359
0.34547,0.64474,0.65107,0.20266
0.049173,0.34969,0.93428,0.049173
0.49726,0.22289,0.049349,0.83703
0.20296,0.45994,0.77791,0.37698
0.65575,0.2338,0.049661,0.71614
0.052414,0.052414,0.052414,0.99587
0.68331,0.50249,0.039642,0.52822
0.99587,0.052414,0.052414,0.052414
0.44944,0.59333,0.54727,0.38269
0.44302,0.046839,0.25167,0.85919
0.84148,0.050372,0.48787,0.22663
0.82704,0.34013,0.4433,0.061639
0.17243,0.56004,0.20424,0.78416
0.76022,0.53688,0.27848,0.23725
0.46248,0.33858,0.58044,0.57842
0.050779,0.74208,0.3964,0.53815
0.36894,0.41482,0.41091,0.72316
0.9595,0.20703,0.090517,0.16823
0.26565,0.17942,0.38582,0.86509
0.047339,0.047339,0.43189,0.89944
0.04862,0.4091,0.66158,0.62657
0.85108,0.048778,0.38296,0.35585
0.66355,0.21095,0.64606,0.31274
0.050148,0.91006,0.050148,0.40835
0.91866,0.04835,0.38862,0.052
0.40632,0.82026,0.40022,0.043482
0.048296,0.44623,0.85806,0.24957
0.40974,0.18411,0.89177,0.054338
0.049311,0.40418,0.50538,0.76079
0.22055,0.92791,0.048837,0.29658
0.049081,0.049081,0.93254,0.35432
0.27256,0.92427,0.2628,0.048646
0.83357,0.21875,0.50536,0.043872
0.51663,0.22776,0.68317,0.46314
0.43474,0.6627,0.60784,0.048579
0.87226,0.41542,0.22735,0.12208
0.25991,0.048787,0.26612,0.92696
0.44454,0.24995,0.39166,0.76584
0.70613,0.70613,0.037165,0.037165
0.052799,0.72314,0.65141,0.22349
0.50824,0.044792,0.85104,0.12418
0.40583,0.82316,0.049504,0.39402
0.56055,0.4295,0.03894,0.70696
0.8146,0.3978,0.05727,0.41821
0.36054,0.61618,0.36831,0.59555
0.14105,0.21238,0.22983,0.93924
0.19946,0.46241,0.86274,0.045482
0.72774,0.57521,0.37063,0.046456
0.21456,0.82978,0.39563,0.33
0.050126,0.29654,0.95239,0.050126
0.05036,0.68166,0.25274,0.68478
0.57998,0.75763,0.23005,0.19155
0.051473,0.97799,0.051473,0.19553
0.6584,0.050619,0.48895,0.56998
0.77767,0.21508,0.4664,0.36254
0.60996,0.40212,0.65176,0.2036
0.77991,0.2651,0.52717,0.2087
0.28008,0.95733,0.050386,0.050386
0.93615,0.34463,0.049271,0.049271
0.17123,0.58776,0.76863,0.18555
0.049126,0.86709,0.30222,0.39294
0.047806,0.66381,0.047806,0.74484
0.40357,0.049665,0.43851,0.80148
0.77095,0.47107,0.16971,0.39361
0.044014,0.044014,0.83626,0.54479
0.20698,0.051291,0.9524,0.21786
0.87357,0.4259,0.050972,0.22995
0.41339,0.043511,0.59932,0.68413
0.54868,0.37077,0.3974,0.63526
0.28604,0.76003,0.54156,0.21737
0.047752,0.51772,0.33382,0.78629
0.55351,0.16713,0.25459,0.77516
0.038493,0.67981,0.73136,0.038493
0.74937,0.34939,0.34367,0.44527
0.044606,0.42515,0.77655,0.46284
0.53966,0.039532,0.65458,0.52794
0.51415,0.85534,0.045018,0.045018
0.61724,0.66694,0.35123,0.2255
0.5833,0.46856,0.41566,0.51715
0.050655,0.19323,0.96244,0.18386
0.23072,0.048197,0.5368,0.81012
0.5786,0.77209,0.040859,0.25968
0.29581,0.65636,0.18979,0.66758
0.45387,0.36039,0.75118,0.31599
0.23235,0.54856,0.40604,0.69298
0.22016,0.83359,0.048354,0.5043
0.053941,0.64969,0.59324,0.4723
0.24393,0.86674,0.20837,0.38189
0.35325,0.45403,0.68673,0.44438
0.044081,0.54281,0.83754,0.044081
0.35446,0.54404,0.75912,0.046013
0.78943,0.24994,0.041549,0.5591
0.25232,0.73887,0.038888,0.62361
0.32551,0.39415,0.24411,0.82407
0.65442,0.43257,0.23057,0.57572
0.39944,0.89392,0.047049,0.19781
0.045397,0.78582,0.49962,0.36167
0.90116,0.22129,0.049236,0.36948
0.60205,0.75566,0.254,0.044659
